state_code,state_name,region,timezone
AC,Acre,North,America/Rio_Branco
AL,Alagoas,Northeast,America/Maceio
AP,Amapa,North,America/Belem
AM,Amazonas,North,America/Manaus
BA,Bahia,Northeast,America/Bahia
CE,Ceara,Northeast,America/Fortaleza
DF,Distrito Federal,Central-West,America/Sao_Paulo
ES,Espirito Santo,Southeast,America/Sao_Paulo
GO,Goias,Central-West,America/Sao_Paulo
MA,Maranhao,Northeast,America/Fortaleza
MT,Mato Grosso,Central-West,America/Cuiaba
MS,Mato Grosso do Sul,Central-West,America/Campo_Grande
MG,Minas Gerais,Southeast,America/Sao_Paulo
PA,Para,North,America/Belem
PB,Paraiba,Northeast,America/Fortaleza
PR,Parana,South,America/Sao_Paulo
PE,Pernambuco,Northeast,America/Recife
PI,Piaui,Northeast,America/Fortaleza
RJ,Rio de Janeiro,Southeast,America/Sao_Paulo
RN,Rio Grande do Norte,Northeast,America/Fortaleza
RS,Rio Grande do Sul,South,America/Sao_Paulo
RO,Rondonia,North,America/Porto_Velho
RR,Roraima,North,America/Boa_Vista
SC,Santa Catarina,South,America/Sao_Paulo
SP,Sao Paulo,Southeast,America/Sao_Paulo
SE,Sergipe,Northeast,America/Maceio
TO,Tocantins,North,America/Araguaina
